,City,State,Region,Size,Population,AvgRent,MedianRent,UnempRate,AvgIncome,CostOfLiving,PriceParity,CommuteTime,MedianAQI,WalkScore,BikeScore,TransitScore,Latitude,Longitude
28,Las Vegas,Nevada,West,Large,2265461.0,1781,1309.0,5.4,58276.0,100.7,95.54,24.7,63.0,42.0,46.5,4.8,36.2333,-115.2654
29,Cincinnati,Ohio,Midwest,Large,2256884.0,1395,899.0,3.1,63116.0,92.4,94.34,24.7,51.0,49.1,35.6,2.5,39.1413,-84.506
30,Kansas City,Missouri,Midwest,Large,2192035.0,1293,1082.0,2.4,61410.0,91.6,93.66,23.2,48.0,35.3,35.0,2.3,39.1238,-94.5541
31,Columbus,Ohio,Midwest,Large,2138926.0,1343,1010.0,3.1,59867.0,93.9,95.02,24.0,44.0,41.2,47.7,2.9,39.9862,-82.9855
32,Indianapolis,Indiana,Midwest,Large,2111040.0,1303,956.0,2.2,65805.0,90.2,95.03,24.7,48.0,31.0,42.8,2.4,39.7771,-86.1458
33,Cleveland,Ohio,Midwest,Large,2088251.0,1273,872.0,3.4,61948.0,90.0,94.2,24.6,47.0,57.1,52.3,4.7,41.4764,-81.6805
34,San Jose,California,West,Large,2000468.0,3016,2763.0,2.1,136338.0,173.5,111.64,29.0,44.0,50.5,61.5,6.4,37.3012,-121.848
35,Nashville,Tennessee,South,Large,1989519.0,1830,1353.0,2.3,70026.0,100.1,95.53,27.6,45.0,,,1.7,36.1715,-86.7842
36,Virginia Beach,Virginia,South,Large,1799674.0,1842,1215.0,3.0,56716.0,99.0,97.79,24.0,37.0,33.1,41.7,3.2,36.7335,-76.0435
37,Providence,Rhode Island,Northeast,Large,1676579.0,1962,1275.0,2.7,64566.0,111.5,101.2,26.0,42.0,,,3.5,41.823,-71.4187
38,Jacksonville,Florida,South,Large,1605848.0,1657,1195.0,2.1,59271.0,99.0,98.73,27.5,46.0,25.6,40.5,2.6,30.3322,-81.6749
39,Milwaukee,Wisconsin,Midwest,Large,1574731.0,1130,971.0,2.4,65803.0,93.8,95.61,22.7,44.0,61.5,57.6,4.6,43.0642,-87.9675
40,Oklahoma City,Oklahoma,South,Large,1425695.0,1215,873.0,2.4,57150.0,87.3,92.76,22.5,50.0,34.1,40.2,1.7,35.4676,-97.5136
41,Raleigh,North Carolina,South,Large,1413982.0,1640,1353.0,2.7,66428.0,99.7,97.58,25.9,43.0,31.3,39.3,2.3,35.8324,-78.6429
42,Memphis,Tennessee,South,Large,1337779.0,1292,962.0,3.7,56568.0,88.2,90.62,24.4,43.0,35.0,41.2,2.3,35.1087,-89.9663
43,Richmond,Virginia,South,Large,1314434.0,1454,1271.0,2.9,65834.0,99.2,97.92,25.6,39.0,50.9,50.8,2.4,37.5295,-77.4756
44,Louisville/Jefferson County,Kentucky,South,Large,1285439.0,1262,931.0,2.7,59425.0,91.6,91.81,23.9,44.0,34.3,43.3,2.9,38.1663,-85.6485
45,New Orleans,Louisiana,South,Large,1271845.0,1615,1075.0,3.5,61327.0,92.4,94.42,26.0,45.0,58.0,65.7,3.4,30.0687,-89.9288
46,Salt Lake City,Utah,West,Large,1257936.0,1740,1345.0,2.0,61551.0,105.9,96.23,22.5,51.0,,,6.6,40.7776,-111.9311
47,Hartford,Connecticut,Northeast,Large,1213531.0,1396,1287.0,,69951.0,104.8,101.71,24.5,42.0,,,3.9,41.7661,-72.6834
48,Buffalo,New York,Northeast,Large,1166902.0,1222,971.0,3.2,56808.0,97.3,95.11,21.7,40.0,66.6,62.8,3.9,42.9018,-78.8487
49,Birmingham,Alabama,South,Large,1115289.0,1211,1032.0,2.0,59107.0,90.7,90.86,25.8,51.0,33.2,30.7,0.1,33.5279,-86.7971
50,Rochester,New York,Northeast,Large,1090135.0,1303,1009.0,2.9,58500.0,96.6,97.69,21.6,39.0,60.7,59.9,2.5,43.168,-77.6162
51,Grand Rapids,Michigan,Midwest,Large,1087592.0,1694,1070.0,3.1,57667.0,93.7,96.69,21.2,42.0,,,2.6,42.9619,-85.6562
52,Tucson,Arizona,West,Large,1043433.0,1523,951.0,3.1,52942.0,97.7,92.92,24.4,48.0,43.2,66.3,3.7,32.1541,-110.8787
53,Urban Honolulu,Hawaii,West,Large,1016508.0,2428,1892.0,3.4,63912.0,,114.74,29.0,29.0,65.7,51.0,6.4,21.3294,-157.846
54,Tulsa,Oklahoma,South,Large,1015331.0,1166,830.0,2.7,59941.0,86.7,92.02,21.8,48.0,39.0,47.2,1.7,36.1283,-95.9042
55,Fresno,California,West,Large,1008654.0,1747,1060.0,6.2,51422.0,105.9,101.56,22.8,64.0,46.6,58.1,3.2,36.783,-119.7939
56,Worcester,Massachusetts,Northeast,Mid-Sized,978529.0,1813,1361.0,3.3,64540.0,113.2,100.0,28.8,42.0,,,2.1,42.2705,-71.8079
57,Omaha,Nebraska,Midwest,Mid-Sized,967604.0,1225,940.0,2.5,64229.0,92.9,93.64,20.5,44.0,48.2,41.7,2.7,41.2627,-96.0529
58,Bridgeport,Connecticut,Northeast,Mid-Sized,957419.0,1662,1434.0,,127391.0,,105.8,30.2,44.0,,,4.5,41.1918,-73.1954
59,Greenville,South Carolina,South,Mid-Sized,928195.0,1545,1007.0,2.6,50908.0,95.0,93.51,23.7,44.0,,,0.9,34.8354,-82.3646
60,Albuquerque,New Mexico,West,Mid-Sized,916528.0,1503,1012.0,3.1,52263.0,92.9,92.26,23.7,54.0,42.6,60.9,3.6,35.1054,-106.6465
61,Bakersfield,California,West,Mid-Sized,909235.0,1836,927.0,6.7,45961.0,102.9,100.94,22.6,57.0,37.3,43.7,3.1,35.3529,-119.0359
62,Albany,New York,Northeast,Mid-Sized,899262.0,1475,1166.0,2.5,67788.0,100.1,99.16,23.4,39.0,,,3.6,42.6664,-73.7987
63,Knoxville,Tennessee,South,Mid-Sized,879773.0,1691,1024.0,2.6,55752.0,91.6,90.37,23.7,45.0,,,1.1,35.9692,-83.9496
64,McAllen,Texas,South,Mid-Sized,870781.0,1393,742.0,6.8,34503.0,86.0,87.76,21.6,45.0,,,1.1,26.2252,-98.2467
65,Baton Rouge,Louisiana,South,Mid-Sized,870569.0,1299,939.0,3.0,56396.0,91.1,93.19,25.6,46.0,39.1,44.3,1.8,30.442,-91.1311
66,El Paso,Texas,South,Mid-Sized,868859.0,1467,884.0,4.0,44058.0,88.6,93.13,23.7,56.0,40.4,42.0,4.1,31.8476,-106.43
67,New Haven,Connecticut,Northeast,Mid-Sized,864835.0,1809,1439.0,,64643.0,107.7,101.25,24.8,42.0,,,4.6,41.3113,-72.9246
68,Allentown,Pennsylvania,Northeast,Mid-Sized,861889.0,1608,1188.0,3.3,62618.0,98.9,98.31,27.9,39.0,,,2.8,40.5961,-75.4756
69,Oxnard,California,West,Mid-Sized,843843.0,2837,2189.0,3.2,73375.0,,111.4,25.7,48.0,,,3.4,34.1964,-119.1815
