RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,CountyName,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31,2021-01-31,2021-02-28,2021-03-31,2021-04-30,2021-05-31,2021-06-30,2021-07-31,2021-08-31,2021-09-30,2021-10-31,2021-11-30,2021-12-31,2022-01-31,2022-02-28,2022-03-31,2022-04-30,2022-05-31,2022-06-30,2022-07-31,2022-08-31,2022-09-30,2022-10-31,2022-11-30,2022-12-31,2023-01-31
6181,0,New York,city,NY,NY,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,2579.166762708492,2602.537435971135,2625.174775894998,2647.9099008350004,2662.9996038544277,2678.7187989253084,2688.661475113625,2693.933369157286,2684.446440188981,2670.6771066231845,2659.318326841348,2658.908924652686,2666.5300543523795,2676.1778793300105,2690.286898517334,2707.3000338203133,2720.890770570958,2731.375506381235,2734.55339414338,2728.7977066521053,2716.5419890686967,2700.859804481251,2691.562244778556,2688.993677094354,2694.893777501,2708.886075200042,2726.646459109414,2744.5767502759213,2761.47630905858,2770.6313435458324,2767.382135286943,2753.1806816474946,2732.802618356464,2715.6818948472783,2706.9846174530385,2708.089714199041,2722.318813968228,2739.8350339206168,2763.1249507417215,2781.7229299992264,2799.0156926728837,2811.3340747975244,2816.489748913053,2810.3414202802833,2794.169757680195,2777.7623046727667,2768.9108794469394,2775.1149695611703,2791.3761268841968,2813.264678552462,2838.885468889053,2862.560147661635,2883.9591685047817,2896.198309605178,2900.244744117255,2893.235272815082,2873.7677982793098,2859.579640383946,2859.817369648398,2876.0775955516183,2892.4898366592106,2886.3845035915597,2862.5694272437768,2823.6992992695177,2781.427155637382,,,2579.8002881134694,2533.5607681039705,2507.727158987234,2493.8012081148236,2499.662820914502,2522.7336245557776,2565.2721999164983,2621.2669136873938,2691.3810489507705,2773.2709986615864,2850.7462906915525,2914.933469691505,2950.968160797894,2976.2702571935497,2993.748883737709,3021.1024814305856,3060.047801576937,3106.665488463049,3162.1541685721213,3229.597004740858,3300.6995989393968,3356.4411902196985,3384.0503727777896,3381.197078892469,3356.9346165501915,3313.6612214212746,3281.408973888393,3272.6104750664053
12447,1,Los Angeles,city,CA,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,1935.7532293039435,1946.3028615131582,1964.4162859886526,1977.7008148413584,1997.1348853485874,2013.3089232516359,2033.0537681178992,2040.9437214565537,2049.908559339594,2047.632057555851,2063.5483261420663,2079.262733165037,2102.2555515153585,2105.5241614212105,2117.1298856353947,2132.16259766164,2147.128247716095,2153.6303398243817,2154.802289456114,2164.006123529101,2167.1881839431085,2173.8352165199485,2185.4267021850123,2196.7710130766577,2216.732255808332,2229.3371104861926,2249.0729729583168,2255.013337309738,2268.0188080990156,2279.29313672324,2286.768453216741,2290.627729941361,2292.467087589214,2298.8040917194735,2303.467667410919,2310.369731777415,2320.9246571350136,2332.819135665911,2345.195592459543,2360.7806676699365,2373.650265879558,2390.1301784469256,2399.060518340408,2402.762097003638,2400.2491952953733,2402.020898610003,2411.2179383962207,2417.452725999694,2425.9334180768406,2432.8422756464497,2444.5673216225164,2456.8570762194554,2468.7931132426475,2479.0662106672057,2483.5946311442394,2483.8657570864375,2479.9375085099673,2481.6869578692695,2485.248610880279,2493.6019800755175,2492.874252685501,2478.217079853178,2453.9049270504865,2434.4577069260386,2427.339134048845,2418.3038548551212,2408.832830351321,2399.9852151092173,2402.7840563975824,2399.213237261432,2395.0481420024926,2390.150737824103,2399.8287968233117,2418.283189765956,2443.132455307369,2475.1455380258453,2517.147702123853,2571.576808242491,2612.583768117292,2642.900946165356,2658.785968090798,2679.911051173323,2701.9190047851575,2724.7955089510383,2749.78955527601,2775.382881345616,2810.539296375762,2832.484188826913,2856.5781922948886,2869.3565264967674,2883.6354636922797,2875.309523122266,2867.9616149725825,2859.1765893679108,2857.8717088297976
39051,2,Houston,city,TX,TX,"Houston-The Woodlands-Sugar Land, TX",Harris County,1305.6673866064077,1313.799431185591,1325.04445113584,1335.1134326067904,1339.056673077401,1342.03496413232,1338.5307385227097,1332.750806104834,1328.2112579287,1327.1418639954427,1329.335465731073,1334.0223783025917,1343.1445455304026,1346.989497902555,1344.4131414447018,1340.7822246128164,1340.3871044268305,1337.8259447143982,1332.607422108747,1329.9030303276668,1324.8738052068377,1321.2868187152571,1314.362413156467,1319.0485127150503,1326.4385987218436,1333.7798211846398,1339.438280279001,1341.0902523519953,1342.1407981363066,1340.9633246579263,1341.8952968910655,1352.5853761915614,1363.2075369727802,1371.9162502191775,1372.5650585184856,1374.8267361073956,1378.862449502864,1386.4947688746072,1390.4865000386617,1395.0243077153925,1398.8233869123367,1399.8731613074235,1397.7498321278558,1394.4989338575267,1396.6383353208864,1395.5382867271394,1392.914774742952,1388.270018877925,1391.9598327336712,1396.819251389288,1405.7410552162673,1412.469650515593,1419.1860172942625,1421.6740152748266,1418.9865317580413,1415.9653158227934,1412.0491641706105,1414.8011127471902,1416.0133062913462,1418.7444742614111,1421.5206661104908,1414.8313762487385,1405.2690414804135,1393.987548931658,1392.005110579492,1392.1098517534099,1390.7313376743955,1393.0466410652375,1396.3716083215597,1397.5308307444654,1393.7808334579195,1390.6392598619427,1396.1516655239884,1412.3855669185937,1439.1656503430356,1471.7530155319325,1502.7561151734858,1529.6627954009828,1540.6898780113213,1549.358510420691,1550.4434365221257,1557.6458949355444,1560.5152720468013,1568.2533437997097,1576.775909055065,1586.959114649689,1600.6192436187955,1613.8587178100847,1625.813637913319,1632.6127132275253,1631.5681663077364,1626.7607968130844,1619.101251355668,1614.8218035899683,1620.8015674196006
17426,3,Chicago,city,IL,IL,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,1539.7353966950732,1555.5883087460797,1569.9786244002796,1601.8990584124815,1609.9156592142895,1617.665651768938,1615.1518381885846,1605.1454160377575,1592.2517096607205,1584.616551078629,1592.0112258184604,1604.4605168172632,1620.0687511430508,1630.8658710839227,1642.8973388547636,1654.0364303281501,1662.4999066802368,1662.8741805411346,1654.1324991858726,1639.2080952617157,1624.0352448246,1617.3816288376538,1618.1633285952178,1633.9418012515878,1651.921570452826,1672.2481359901533,1684.672262659288,1692.7418962097868,1697.7118759779767,1695.1358437927772,1685.5302282811974,1671.4731356613383,1658.4162746883246,1652.7282504575576,1656.9986996764974,1667.0414936887764,1681.9926527657508,1694.1647230372182,1708.2216398634505,1720.621379501767,1727.2100521774448,1725.556424883894,1716.2831544358082,1701.0326205428923,1689.3084711779409,1680.8907054993922,1686.7246531827639,1697.7954625734499,1715.435772061966,1733.6077319998406,1749.0829024548273,1762.3601511197205,1769.6654250376898,1771.4936802428983,1765.9274991667316,1756.2743731627027,1742.7058892628722,1735.1660729217028,1737.8951254441383,1751.268535219743,1766.9593685880332,1770.9327177625287,1770.108010798961,1763.516536564192,1759.598902180069,1746.6193237186426,1722.234405728215,1688.3140290877816,1658.0319620450593,1639.7040351677756,1636.773241648802,1645.205823775585,1670.1273931809574,1706.1257367359642,1748.1107197466824,1782.1722401422587,1803.6979517891539,1820.179236852706,1823.248099680778,1822.6300315100357,1814.973307209326,1821.4670773552534,1836.7987559725414,1857.6046939122614,1881.7710447153902,1906.3354396728928,1935.3313503552145,1956.9960516481678,1975.7943579242506,1981.2138121938842,1979.9636390097314,1975.1729854655896,1967.6804746990745,1968.3226879761805,1975.0017856439354
6915,4,San Antonio,city,TX,TX,"San Antonio-New Braunfels, TX",Bexar County,1004.2988049431327,1012.5510051944406,1021.9536411500524,1029.2586852160318,1032.8639803088968,1033.2737621949343,1031.1817705566002,1031.8287823593523,1034.8430241459757,1040.6325734365441,1041.3424117376223,1044.0848211032674,1049.462575908468,1058.438183794027,1063.59368356898,1063.9781119309441,1063.087878810654,1066.0969215578389,1068.4716086977137,1070.0635917234079,1071.1999592846853,1069.603881927804,1071.7841916665063,1075.9999630469272,1083.418065191503,1090.0633052863272,1092.9728678285858,1097.9727752402832,1102.9049168316803,1104.5871661589115,1102.9490682510555,1100.134956323731,1098.3610471039997,1097.058311448552,1096.4507323199473,1097.4142107468228,1103.6286568354872,1109.386618090622,1117.1283313383537,1122.6944930293573,1129.2622467107697,1135.6351011531904,1138.2402320236677,1139.4015915976172,1138.8772517722443,1136.4216705433205,1136.7717223687107,1137.8119533229465,1144.3160480325,1147.5757984502652,1155.6206279865298,1162.1257468943897,1172.6106428584997,1178.6479791731342,1183.4956361811962,1183.6811737768153,1176.5348282538212,1172.410410714255,1170.5023160040605,1173.2525000890942,1173.8851916652966,1171.425026595945,1170.2879614483106,1170.5966598758105,1175.826076977629,1183.1566544350762,1188.251600575721,1190.3171767246915,1190.3653718133564,1191.3138411619311,1193.825801519232,1195.777807560983,1204.944324527439,1218.5362759097263,1238.38856420867,1261.5574774488748,1290.8313408338047,1325.9420228333327,1353.2411817291797,1365.69246687611,1367.0198985143907,1371.3023457468466,1375.9769948962196,1383.4690381631485,1390.1394420786567,1405.4042347901711,1424.9473992350468,1440.782380959843,1455.4090674000652,1456.403567148872,1454.5636618208798,1445.1152737333348,1442.0647379651139,1437.5228118655314,1441.0810753351163
40326,5,Phoenix,city,AZ,AZ,"Phoenix-Mesa-Chandler, AZ",Maricopa County,920.4079618203918,935.6398279298442,940.0067209403054,947.8853971145103,947.7149148475047,951.18203360886,955.9246957845479,957.0298378789025,960.0603816944653,959.6547168988993,963.3306362645411,969.262552440755,980.4479877102875,992.1426819735035,1002.5263332266768,1006.9952451439871,1008.3594179358711,1008.0502820677053,1008.475768135606,1011.4728617955135,1011.5304225403155,1013.1526160250489,1018.4569431086444,1028.3729388265788,1038.4786763376228,1049.0860139280112,1059.3533041713565,1068.4472726305244,1072.9007244701434,1075.0571887418955,1072.9477481229694,1075.929932689319,1076.7328839564464,1079.9525901694026,1079.7916989197784,1083.3570474247829,1096.6352966608144,1113.4531665181569,1128.5263879854742,1135.3556351282025,1140.7500863505425,1148.9233415604174,1156.171949294749,1161.7980830944978,1166.0998550400209,1170.750485285114,1173.3068518544885,1182.8455652449306,1194.0591675872276,1210.1450323409254,1220.7368983960102,1231.8964207856811,1238.6748006824107,1245.973816817265,1249.7778740048461,1254.0534071403506,1256.0004628567708,1266.4102015325268,1273.3339688352846,1287.765633007401,1290.9791788528141,1291.8872576287183,1288.0516117948798,1292.0312172052327,1301.3702802752425,1313.601261098449,1326.7794954411333,1340.7473903765267,1351.962765058169,1359.2281291892741,1371.4244211813013,1380.7622137738433,1403.7828857873162,1434.3613166914106,1484.282002059709,1531.963338032057,1586.14877673557,1631.850360665436,1670.1482617425456,1689.9426415155986,1707.5848160031662,1719.773258713726,1731.9526899719285,1737.0396375115686,1750.9679558677706,1766.6516254197256,1787.1139053340773,1795.7406359914678,1799.7135850263394,1793.275000540229,1785.1730055448384,1780.1139880449773,1770.0561568439675,1767.2773062309386,1755.8667282149024
13271,6,Philadelphia,city,PA,PA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia County,1258.420104079147,1265.696512181852,1277.176320002028,1284.6547465289484,1288.8819766253187,1292.2652547930084,1287.5700112389254,1284.0837014915703,1281.6700724857697,1281.0095690035278,1284.9295263021113,1287.7842568648723,1301.0300646892051,1309.2169859883281,1318.188130145751,1323.146539644428,1325.7287961328082,1325.576828773657,1322.342813840613,1320.5696329702212,1321.4994967508753,1319.1309909305269,1318.5866987064728,1324.1065423657221,1335.6084407339054,1347.974541597219,1353.6164827536138,1358.6153009917086,1361.7047827888255,1363.1611595754205,1360.0405557026268,1358.3769421193326,1354.299801585718,1356.413386895916,1356.3348411885797,1363.5701031150415,1372.6148633306898,1384.0005378964431,1394.081442789231,1399.09296395418,1401.297203646459,1401.657354267877,1399.9100306883786,1400.4980585067929,1402.0803531779536,1404.0392049480736,1407.376278304812,1411.5041032918439,1421.52241687257,1430.8375437813718,1438.6703376375037,1447.076961819611,1453.6281970735981,1455.636682272499,1452.88974831268,1449.2966845005255,1450.6934267867136,1450.7343094136181,1452.8692281649971,1460.6586059983385,1468.4869202805,1472.173797391445,1468.1373558432203,1466.894310517324,1470.6403986008968,1473.427710757195,1469.8229418173228,1461.7761664664101,1455.3136472636295,1453.3531294013992,1454.5527490898928,1455.2376627311312,1463.5952364833379,1476.9927895895282,1498.6589366373873,1515.8529395843161,1533.4272515992125,1552.2730720094582,1568.6415067098762,1578.5665872631887,1579.8041094326845,1587.056783710654,1591.8624217130018,1601.318999185915,1611.9711793050694,1630.4139930832291,1647.7065058910484,1660.9441363147098,1669.020396931423,1676.4499098732658,1675.442314075566,1670.419258316932,1664.7499382877706,1661.0894981723816,1663.5393089997553
18959,7,Las Vegas,city,NV,NV,"Las Vegas-Henderson-Paradise, NV",Clark County,1036.2101873900594,1045.5670777345058,1050.7949409820653,1059.8069809307194,1065.1785288683973,1071.494121453381,1074.3082006149089,1073.645265175533,1072.9001733477626,1071.5345362970797,1073.4523127766001,1077.5514377211925,1084.4684705305124,1090.0628660906566,1099.0517613272882,1107.3679739405181,1114.2410430412506,1116.5577087983024,1116.7312214193882,1118.5041369116354,1118.4145391114587,1118.0626619159748,1119.833452693693,1127.5790101628706,1138.1470528745867,1148.8890314861947,1157.8638941420245,1166.2363650251998,1174.488183223162,1180.3646879461946,1184.4664154263603,1185.669955363149,1187.0894881980446,1190.5362133732942,1194.3464300878366,1202.8744609529597,1210.8580125086048,1225.1188380205806,1236.9649401676918,1249.6375421339862,1258.0464779460046,1265.5478730384218,1269.5464688695229,1273.3702342511513,1275.189807514533,1277.475254533376,1280.4340591288174,1286.098584270941,1296.6128309685207,1307.7789994166405,1320.1258267046846,1330.533702962002,1339.7483540452895,1346.3674689997797,1347.7973418306244,1347.0123110129348,1343.5867352580476,1343.753215887677,1345.4408721142538,1352.0531504257804,1358.959733887926,1352.0990392098852,1345.1336579855945,1343.8140650012815,1361.9138622377018,1381.8298500943877,1400.115489527655,1414.7617876591153,1425.867943233563,1432.4913734054896,1440.8951829353769,1453.2378117894323,1470.5288846847704,1497.9834966096048,1542.039246137051,1600.9121426279798,1664.2382153416067,1722.9000720128722,1763.6145061562434,1782.5148928040978,1784.9642775934224,1787.2308583138995,1794.7063165416912,1805.5150600011189,1815.2188081254094,1831.9750114824865,1851.219961770289,1870.2719767401395,1879.4907937832118,1865.3774875368995,1845.2638593683773,1812.8216576731124,1796.0616132740838,1780.2582146302136,1781.751914250575
54296,8,San Diego,city,CA,CA,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,1831.391754471852,1845.0563973358765,1850.1893657810328,1856.4420142994254,1867.3391275078,1881.6011342401093,1893.8165842820315,1896.3044557735861,1905.355714828628,1905.7785058935253,1917.4114047373748,1924.510242952888,1940.9727289892771,1951.3547676466621,1963.4986461731978,1976.0682790196922,1980.7321439496861,1986.4200317605564,1987.7379549812401,1999.1800314630027,2000.107038782503,1997.2747243520298,1998.8022835910353,2015.5976100030223,2033.0188669933302,2050.9901162369224,2064.202032058835,2083.629862047166,2100.861985502501,2109.3201303687238,2111.1870691371523,2109.1269949739294,2103.3401273640793,2103.3365444573624,2111.22126050417,2128.5514448986814,2144.384782344631,2156.352702478657,2172.0520808896017,2186.8601205755776,2203.356909234737,2216.779199166136,2222.7983359427803,2226.027263325537,2221.052012689097,2219.708686964761,2215.753506782413,2217.349679850495,2224.1857259370295,2238.535294358417,2253.3114661463806,2267.1419458573314,2278.8697745914715,2292.6246631222857,2299.1459700546043,2304.704792901686,2300.51490650911,2300.6767013123454,2298.4914906862805,2304.3211384874794,2309.3831275798466,2296.8451311469466,2284.3448304795243,2278.4922622859135,2292.63570923452,2302.6799790941645,2311.3779352936085,2321.886040809617,2335.038780807733,2343.179856631103,2351.7285941240043,2356.3089730959746,2378.1826551804415,2411.4076099866834,2461.5979817542725,2508.2999034235636,2563.092880016493,2624.7095745356814,2688.9181590604535,2737.072143565732,2772.0392788163,2784.28301677248,2784.4788694483664,2802.8803991645773,2844.3100496547377,2905.824047078717,2951.131917739808,2998.8321588517642,3036.476251524639,3075.8768577160786,3086.6369464688764,3082.340464052825,3052.133656363154,3026.7727073702126,3016.0345156503213
38128,9,Dallas,city,TX,TX,"Dallas-Fort Worth-Arlington, TX",Dallas County,1161.7353884811878,1169.565647506606,1185.1651198835016,1197.2859195358776,1208.8025948009247,1217.1399669820414,1220.3249333560054,1217.7255586390017,1216.2247509532049,1217.274550484592,1224.3489069292439,1231.6974280244817,1245.1121742565274,1251.8370734154903,1256.2797646548202,1263.5397932296382,1271.58357010596,1277.0472475027798,1274.6597894505983,1277.794892862581,1285.1740163457853,1291.0268712378022,1287.9447120463662,1283.1780345450343,1290.4461862323997,1299.9626346612254,1315.9161178338998,1322.628738445665,1329.1988141616048,1329.3000552322976,1327.2826843712517,1328.6064380284026,1326.9261382377629,1326.7590928946254,1327.8520941237664,1337.5085158258403,1343.44803370906,1350.4604556878874,1346.9415080582621,1354.7432933992657,1357.3109783376055,1367.7482343807055,1364.9958612728165,1367.9319451847462,1367.5419801312908,1368.8850993263045,1368.9139485104342,1374.4085674505714,1382.5826633399708,1391.5012473911945,1398.1057896659438,1413.1179203199058,1420.139978035504,1422.5626530158725,1420.4620915028256,1417.3997641728931,1412.6094422374717,1405.0489008927384,1404.2193727109293,1411.8466315621542,1419.9877140280576,1419.4316270208599,1413.0764387837487,1407.9222205142983,1406.5732873869526,1403.9166597331637,1400.5887852067553,1403.5802149547817,1408.716621822986,1411.8889978660404,1412.1997319622844,1418.7005028396195,1431.3038750131911,1454.1530094399268,1483.3547726399113,1522.8199491065461,1563.034428288058,1595.3048948328253,1618.127741667337,1625.8767996288336,1637.1813439801836,1642.7980885032443,1656.2433408998093,1669.2878466460736,1680.3295645995895,1707.4249756880588,1742.150823031832,1790.063937223836,1818.4228606090032,1825.5545067638411,1822.5515035190847,1802.755221244466,1784.681755608079,1762.0176568765412,1754.4425076207235
