City,State,MedianAQI
Fayetteville,AR,38
Portland,ME,38
Wheeling,WV,38
Lebanon,PA,38
Macon,GA,38
Williamsport,PA,38
Reading,PA,38
Appleton,WI,38
Winchester,VA,38
Fort Smith,AR,38
Green Bay,WI,38
Rochester,MN,38
Elkhart,IN,38
Marshall,MN,38
Holland,MI,38
Brainerd,MN,38
St. Cloud,MN,38
Greenfield Town,MA,38
Beaver Dam,WI,38
Rocky Mount,NC,38
Rutland,VT,38
Lafayette,IN,38
Naples,FL,38
Keene,NH,38
Vineland,NJ,38
Bennington,VT,38
Michigan City,IN,38
Morgantown,WV,38
Dickinson,ND,38
Monroe,LA,38
Barnstable Town,MA,38
Effingham,IL,38
Ludington,MI,38
Morehead City,NC,38
Sioux Falls,SD,37
Watertown,SD,37
Duluth,MN,37
Virginia Beach,VA,37
Walla Walla,WA,37
Hattiesburg,MS,37
Brunswick,GA,37
Eau Claire,WI,37
Houma,LA,37
Baraboo,WI,37
La Crosse,WI,37
Roanoke,VA,37
Norwich,CT,37
Greenville,NC,37
Fargo,ND,37
Corning,NY,37
Syracuse,NY,37
Dover,DE,37
Tuscaloosa,AL,37
Minot,ND,37
Salisbury,MD,37
Claremont,NH,37
Lincoln,NE,37
Fort Payne,AL,37
DuBois,PA,37
Fond du Lac,WI,37
Longview,TX,37
Somerset,PA,37
Sonora,CA,37
St. Marys,PA,37
Scranton,PA,36
Gainesville,GA,36
Albany,GA,36
Wilmington,NC,36
Vermillion,SD,36
Harrisonburg,VA,36
Arkadelphia,AR,36
Meridian,MS,36
Brookings,SD,35
Valdosta,GA,35
Homosassa Springs,FL,35
Santa Cruz,CA,35
Port Angeles,WA,35
Rockland,ME,35
Summerville,GA,35
Washington Court House,OH,35
Wausau,WI,35
Kennewick,WA,34
Medford,OR,34
Portland,OR,34
Laconia,NH,34
Atlantic City,NJ,34
Americus,GA,34
Sebastian,FL,34
Victoria,TX,34
Watertown,NY,34
Bangor,ME,33
Ponca City,OK,33
Warner Robins,GA,33
Sayre,PA,33
